type,buy,sell,update
SJC,83.500,81.500,13/04/2024 07:57:40
SJC,83.300,80.800,13/04/2024 09:33:35
SJC,83.100,80.600,13/04/2024 10:33:32
PNJ,76.700,74.900,12/04/2024 08:03:06
PNJ,76.900,75.100,12/04/2024 08:53:31
PNJ,77.100,75.300,12/04/2024 09:39:16
PNJ,77.250,75.450,12/04/2024 14:15:42
PNJ,77.250,75.450,12/04/2024 14:52:25
PNJ,77.250,75.450,12/04/2024 15:19:18
SJC,84.400,82.300,12/04/2024 08:03:06
SJC,84.700,82.700,12/04/2024 08:53:31
SJC,85.000,83.000,12/04/2024 09:39:16
SJC,85.000,83.000,12/04/2024 14:15:42
SJC,84.700,82.700,12/04/2024 14:52:25
SJC,84.500,82.500,12/04/2024 15:19:18
PNJ,76.400,74.600,11/04/2024 08:06:16
PNJ,76.600,74.800,11/04/2024 08:48:16
PNJ,76.600,74.800,11/04/2024 10:35:58
PNJ,76.400,74.600,11/04/2024 14:55:47
PNJ,76.400,74.600,11/04/2024 15:57:01
SJC,84.200,82.100,11/04/2024 08:06:16
SJC,84.200,82.000,11/04/2024 08:48:16
SJC,84.300,82.200,11/04/2024 10:35:58
SJC,84.400,82.400,11/04/2024 14:55:47
SJC,83.900,81.900,11/04/2024 15:57:01
PNJ,75.500,74.200,10/04/2024 08:18:42
PNJ,75.500,74.200,10/04/2024 08:21:23
PNJ,75.800,74.300,10/04/2024 09:05:46
PNJ,76.300,74.700,10/04/2024 09:38:45
PNJ,76.300,74.700,10/04/2024 11:23:24
PNJ,76.700,74.900,10/04/2024 14:15:04
SJC,84.700,81.900,10/04/2024 08:18:42
SJC,84.600,81.900,10/04/2024 08:21:23
SJC,83.900,81.900,10/04/2024 09:05:46
SJC,83.700,81.700,10/04/2024 09:38:45
SJC,84.000,82.000,10/04/2024 11:23:24
SJC,84.400,82.300,10/04/2024 14:15:04
PNJ,74.350,72.900,09/04/2024 08:04:27
PNJ,74.550,73.100,09/04/2024 09:04:12
PNJ,74.650,73.200,09/04/2024 10:04:06
PNJ,74.650,73.200,09/04/2024 10:18:27
PNJ,74.650,73.200,09/04/2024 11:07:03
PNJ,74.850,73.500,09/04/2024 13:29:53
PNJ,75.100,73.800,09/04/2024 14:19:25
PNJ,75.300,73.900,09/04/2024 15:08:45
PNJ,75.500,74.200,09/04/2024 15:41:52
PNJ,75.700,74.400,09/04/2024 16:23:27
SJC,82.300,80.300,09/04/2024 08:04:27
SJC,82.500,80.500,09/04/2024 09:04:12
SJC,82.900,80.900,09/04/2024 10:04:06
SJC,82.950,80.900,09/04/2024 10:18:27
SJC,83.200,81.000,09/04/2024 11:07:03
SJC,83.400,81.300,09/04/2024 13:29:53
SJC,83.600,81.400,09/04/2024 14:19:25
SJC,84.200,81.500,09/04/2024 15:08:45
SJC,84.600,81.900,09/04/2024 15:41:52
SJC,84.700,81.900,09/04/2024 16:23:27
PNJ,73.150,71.800,08/04/2024 08:11:12
PNJ,73.300,72.000,08/04/2024 08:42:22
PNJ,73.550,72.300,08/04/2024 09:13:09
PNJ,73.950,72.700,08/04/2024 09:40:02
PNJ,74.150,72.800,08/04/2024 10:18:41
PNJ,74.150,72.800,08/04/2024 13:40:19
PNJ,74.350,72.900,08/04/2024 16:38:46
SJC,81.900,79.500,08/04/2024 08:11:12
SJC,81.700,79.500,08/04/2024 08:42:22
SJC,81.700,79.500,08/04/2024 09:13:09
SJC,81.700,79.500,08/04/2024 09:40:02
SJC,81.700,79.500,08/04/2024 10:18:41
SJC,82.200,80.200,08/04/2024 13:40:19
SJC,82.300,80.300,08/04/2024 16:38:46
PNJ,72.900,71.600,06/04/2024 08:07:27
PNJ,73.000,71.700,06/04/2024 09:41:40
PNJ,73.150,71.800,06/04/2024 11:12:08
SJC,81.700,79.500,06/04/2024 08:07:27
SJC,82.000,79.500,06/04/2024 09:41:40
SJC,81.900,79.500,06/04/2024 11:12:08
PNJ,72.100,70.850,05/04/2024 07:52:01
PNJ,71.800,70.500,05/04/2024 08:46:36
PNJ,71.700,70.400,05/04/2024 09:28:33
PNJ,71.800,70.500,05/04/2024 13:24:56
PNJ,72.000,70.700,05/04/2024 14:58:36
PNJ,72.100,70.800,05/04/2024 16:18:30
SJC,81.100,79.000,05/04/2024 07:52:01
SJC,80.800,78.700,05/04/2024 08:46:36
SJC,80.700,78.600,05/04/2024 09:28:33
SJC,80.900,78.900,05/04/2024 13:24:56
SJC,81.400,79.300,05/04/2024 14:58:36
SJC,81.400,79.300,05/04/2024 16:18:30
PNJ,72.000,70.750,04/04/2024 08:14:06
PNJ,72.100,70.850,04/04/2024 09:48:54
PNJ,72.100,70.850,04/04/2024 13:40:20
PNJ,72.100,70.850,04/04/2024 15:31:22
SJC,81.600,79.500,04/04/2024 08:14:06
SJC,81.700,79.600,04/04/2024 09:48:54
SJC,81.300,79.400,04/04/2024 13:40:20
SJC,81.100,79.000,04/04/2024 15:31:22
PNJ,71.450,70.250,03/04/2024 08:08:02
PNJ,71.450,70.250,03/04/2024 08:26:03
PNJ,71.550,70.300,03/04/2024 09:09:30
PNJ,71.550,70.300,03/04/2024 09:11:15
PNJ,71.650,70.450,03/04/2024 11:40:22
PNJ,71.550,70.300,03/04/2024 14:10:25
PNJ,71.550,70.300,03/04/2024 14:35:31
PNJ,71.550,70.300,03/04/2024 15:32:02
SJC,81.500,79.500,03/04/2024 08:08:02
SJC,81.300,79.300,03/04/2024 08:26:03
SJC,81.300,79.300,03/04/2024 09:09:30
SJC,81.400,79.400,03/04/2024 09:11:15
SJC,81.500,79.500,03/04/2024 11:40:22
SJC,81.400,79.400,03/04/2024 14:10:25
SJC,81.100,79.100,03/04/2024 14:35:31
SJC,80.900,78.900,03/04/2024 15:32:02
PNJ,70.700,69.400,02/04/2024 08:06:38
PNJ,70.800,69.500,02/04/2024 08:40:40
PNJ,70.800,69.500,02/04/2024 13:41:30
PNJ,70.900,69.600,02/04/2024 14:08:43
SJC,80.800,78.300,02/04/2024 08:06:38
SJC,81.000,78.700,02/04/2024 08:40:40
SJC,81.200,79.100,02/04/2024 13:41:30
SJC,81.200,79.100,02/04/2024 14:08:43
PNJ,70.600,69.400,01/04/2024 08:01:02
PNJ,70.700,69.500,01/04/2024 08:40:41
PNJ,70.800,69.600,01/04/2024 09:36:50
PNJ,70.950,69.700,01/04/2024 10:46:00
PNJ,70.850,69.600,01/04/2024 14:59:52
SJC,80.600,78.200,01/04/2024 08:01:02
SJC,80.800,78.500,01/04/2024 08:40:41
SJC,80.700,78.300,01/04/2024 09:36:50
SJC,80.700,78.300,01/04/2024 10:46:00
SJC,80.800,78.300,01/04/2024 14:59:52
PNJ,70.500,69.300,30/03/2024 08:11:31
PNJ,70.500,69.300,30/03/2024 09:18:32
PNJ,70.500,69.300,30/03/2024 12:07:06
SJC,80.800,78.800,30/03/2024 08:11:31
SJC,80.700,78.600,30/03/2024 09:18:32
SJC,80.600,78.200,30/03/2024 12:07:06
PNJ,70.500,69.300,29/03/2024 08:11:44
PNJ,70.500,69.300,29/03/2024 10:35:04
PNJ,70.500,69.300,29/03/2024 14:14:27
SJC,81.500,79.500,29/03/2024 08:11:44
SJC,81.000,79.000,29/03/2024 10:35:04
SJC,80.800,78.800,29/03/2024 14:14:27
PNJ,69.600,68.300,28/03/2024 08:13:22
PNJ,69.600,68.300,28/03/2024 08:41:52
PNJ,69.600,68.350,28/03/2024 09:07:54
PNJ,69.700,68.450,28/03/2024 10:00:50
PNJ,69.800,68.500,28/03/2024 13:08:45
SJC,80.900,78.800,28/03/2024 08:13:22
SJC,81.050,79.100,28/03/2024 08:41:52
SJC,81.050,79.100,28/03/2024 09:07:54
SJC,81.050,79.100,28/03/2024 10:00:50
SJC,81.100,79.100,28/03/2024 13:08:45
PNJ,69.500,68.200,27/03/2024 08:11:40
PNJ,69.400,68.100,27/03/2024 08:53:52
PNJ,69.500,68.200,27/03/2024 10:39:00
PNJ,69.500,68.200,27/03/2024 14:37:46
PNJ,69.500,68.200,27/03/2024 15:18:09
PNJ,69.500,68.200,27/03/2024 16:35:01
SJC,80.100,78.000,27/03/2024 08:11:40
SJC,80.200,78.100,27/03/2024 08:53:52
SJC,80.400,78.500,27/03/2024 10:39:00
SJC,80.700,78.600,27/03/2024 14:37:46
SJC,80.900,78.900,27/03/2024 15:18:09
SJC,80.900,78.800,27/03/2024 16:35:01
PNJ,69.300,68.000,26/03/2024 08:06:28
PNJ,69.400,68.100,26/03/2024 15:38:31
PNJ,69.500,68.200,26/03/2024 16:33:53
SJC,79.800,77.800,26/03/2024 08:06:28
SJC,80.000,78.000,26/03/2024 15:38:31
SJC,80.100,78.000,26/03/2024 16:33:53
PNJ,69.100,67.900,25/03/2024 08:12:45
PNJ,69.300,68.000,25/03/2024 08:57:41
PNJ,69.300,68.000,25/03/2024 10:36:12
PNJ,69.300,68.000,25/03/2024 13:32:05
SJC,80.300,78.000,25/03/2024 08:12:45
SJC,80.300,78.200,25/03/2024 08:57:41
SJC,80.000,78.000,25/03/2024 10:36:12
SJC,79.800,77.800,25/03/2024 13:32:05
PNJ,69.100,67.900,23/03/2024 08:05:16
PNJ,69.100,67.900,23/03/2024 09:34:47
SJC,79.700,77.600,23/03/2024 08:05:16
SJC,80.300,78.000,23/03/2024 09:34:47
PNJ,69.300,68.100,22/03/2024 08:10:01
PNJ,69.100,67.900,22/03/2024 09:01:02
PNJ,69.100,67.900,22/03/2024 11:08:37
PNJ,69.100,67.900,22/03/2024 13:55:23
SJC,80.650,78.600,22/03/2024 08:10:01
SJC,80.500,78.500,22/03/2024 09:01:02
SJC,80.100,78.000,22/03/2024 11:08:37
SJC,79.700,77.600,22/03/2024 13:55:23
PNJ,69.900,68.700,21/03/2024 08:14:04
PNJ,69.900,68.700,21/03/2024 09:48:22
PNJ,69.900,68.700,21/03/2024 10:44:13
PNJ,69.900,68.700,21/03/2024 11:17:18
PNJ,69.900,68.700,21/03/2024 13:54:11
PNJ,69.900,68.700,21/03/2024 14:28:29
PNJ,69.700,68.400,21/03/2024 15:37:59
SJC,81.900,79.900,21/03/2024 08:14:04
SJC,81.800,79.800,21/03/2024 09:48:22
SJC,81.300,79.300,21/03/2024 10:44:13
SJC,81.150,79.200,21/03/2024 11:17:18
SJC,80.950,78.900,21/03/2024 13:54:11
SJC,80.700,78.700,21/03/2024 14:28:29
SJC,80.650,78.600,21/03/2024 15:37:59
PNJ,68.600,67.400,20/03/2024 08:21:36
PNJ,68.650,67.450,20/03/2024 09:17:17
PNJ,68.750,67.550,20/03/2024 11:07:46
PNJ,68.750,67.550,20/03/2024 14:50:36
SJC,81.500,79.500,20/03/2024 08:21:36
SJC,81.650,79.700,20/03/2024 09:17:17
SJC,81.700,79.750,20/03/2024 11:07:46
SJC,81.500,79.500,20/03/2024 14:50:36
PNJ,68.700,67.500,19/03/2024 08:12:15
PNJ,68.700,67.500,19/03/2024 08:37:45
PNJ,68.700,67.500,19/03/2024 14:39:16
PNJ,68.600,67.400,19/03/2024 15:48:35
SJC,81.400,79.400,19/03/2024 08:12:15
SJC,81.900,79.900,19/03/2024 08:37:45
